date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:16	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2011%20Apr%202026%2004:30:14%20GMT	https://sites.google.com/view/fnkim/home	C:/My%20Web%20Sites/fnkim%20Website/sites.google.com/view/fnkim/home.0.delayed	(from )
21:30:17	0/0	---M--	302	error ('Found')	application/binary	date:Sat,%2011%20Apr%202026%2004:30:14%20GMT	https://accounts.google.com/ServiceLogin?passive=1209600&osid=1&continue=https://sites.google.com/view/fnkim/home&followup=https://sites.google.com/view/fnkim/home	C:/My%20Web%20Sites/fnkim%20Website/accounts.google.com/ServiceLogin.176a1.delayed	(from )
21:30:17	596/596	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2011%20Apr%202026%2004:30:15%20GMT	https://accounts.google.com/InteractiveLogin?continue=https://sites.google.com/view/fnkim/home&followup=https://sites.google.com/view/fnkim/home&osid=1&passive=1209600&dsh=S-2029292492:1775881814745795	C:/My%20Web%20Sites/fnkim%20Website/accounts.google.com/InteractiveLogin.2cc36.delayed	(from )
21:30:18	104/104	---MCZ	200	added ('OK')	text/plain	date:Sat,%2011%20Apr%202026%2004:30:15%20GMT	https://accounts.google.com/robots.txt		(from )
21:30:18	925826/925826	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Apr%202026%2004:30:15%20GMT	https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fview%2Ffnkim%2Fhome&dsh=S-2029292492%3A1775881814745795&followup=https%3A%2F%2Fsites.google.com%2Fview%2Ffnkim%2Fhome&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=AT1y2_V7ZiUBfF_1m7hn2regDDpub9w9UwJn33H8kAiJx7mvw5YJUy6VhjgjDtMYs5CKFMq74Mgd	C:/My%20Web%20Sites/fnkim%20Website/accounts.google.com/v3/signin/identifier5de2.html	(from )
21:30:20	3240/3240	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Nov%202023%2022:48:00%20GMT	http://ssl.gstatic.com/images/branding/googlelogo/2x/googlelogo_color_74x24dp.png	C:/My%20Web%20Sites/fnkim%20Website/ssl.gstatic.com/images/branding/googlelogo/2x/googlelogo_color_74x24dp.png	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fview%2Ffnkim%2Fhome&dsh=S-2029292492%3A1775881814745795&followup=https%3A%2F%2Fsites.google.com%2Fview%2Ffnkim%2Fhome&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=AT1y2_V7ZiUBfF_1m7hn2regDDpub9w9UwJn33H8kAiJx7mvw5YJUy6VhjgjDtMYs5CKFMq74Mgd)
21:30:20	788542/788542	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Apr%202026%2004:30:16%20GMT	https://accounts.google.com/v3/signin/rejected?continue=https://sites.google.com/view/fnkim/home&dsh=S-2029292492:1775881814745795&flowEntry=ServiceLogin&flowName=WebLiteSignIn&followup=https://sites.google.com/view/fnkim/home&ifkv=AT1y2_V7ZiUBfF_1m7hn2regDDpub9w9UwJn33H8kAiJx7mvw5YJUy6VhjgjDtMYs5CKFMq74Mgd&osid=1&rhlk=js&rrk=47	C:/My%20Web%20Sites/fnkim%20Website/accounts.google.com/v3/signin/rejected0a47.html	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fview%2Ffnkim%2Fhome&dsh=S-2029292492%3A1775881814745795&followup=https%3A%2F%2Fsites.google.com%2Fview%2Ffnkim%2Fhome&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=AT1y2_V7ZiUBfF_1m7hn2regDDpub9w9UwJn33H8kAiJx7mvw5YJUy6VhjgjDtMYs5CKFMq74Mgd)
21:30:20	1652/1652	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Apr%202026%2004:30:18%20GMT	https://accounts.google.com/v3/signin/document.location.toString(	C:/My%20Web%20Sites/fnkim%20Website/accounts.google.com/v3/signin/document.location.6.delayed	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fview%2Ffnkim%2Fhome&dsh=S-2029292492%3A1775881814745795&followup=https%3A%2F%2Fsites.google.com%2Fview%2Ffnkim%2Fhome&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=AT1y2_V7ZiUBfF_1m7hn2regDDpub9w9UwJn33H8kAiJx7mvw5YJUy6VhjgjDtMYs5CKFMq74Mgd)
21:30:21	1652/1652	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Apr%202026%2004:30:18%20GMT	https://accounts.google.com/v3/signin/	C:/My%20Web%20Sites/fnkim%20Website/accounts.google.com/v3/signin/index.html	(from https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fsites.google.com%2Fview%2Ffnkim%2Fhome&dsh=S-2029292492%3A1775881814745795&followup=https%3A%2F%2Fsites.google.com%2Fview%2Ffnkim%2Fhome&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin&ifkv=AT1y2_V7ZiUBfF_1m7hn2regDDpub9w9UwJn33H8kAiJx7mvw5YJUy6VhjgjDtMYs5CKFMq74Mgd)
21:30:21	1695/1695	---MCZ	400	error ('Bad%20Request')	text/html	date:Sat,%2011%20Apr%202026%2004:30:18%20GMT	https://accounts.google.com/v3/signin/rejected	C:/My%20Web%20Sites/fnkim%20Website/accounts.google.com/v3/signin/rejected.7.delayed	(from https://accounts.google.com/v3/signin/rejected?continue=https://sites.google.com/view/fnkim/home&dsh=S-2029292492:1775881814745795&flowEntry=ServiceLogin&flowName=WebLiteSignIn&followup=https://sites.google.com/view/fnkim/home&ifkv=AT1y2_V7ZiUBfF_1m7hn2regDDpub9w9UwJn33H8kAiJx7mvw5YJUy6VhjgjDtMYs5CKFMq74Mgd&osid=1&rhlk=js&rrk=47)
